flags,instruction,category,intent
BILZ,how can I see how son can I expect my package?,DELIVERY,delivery_period
BCIL,"I have got to see when will my article arrive, how to do it?",DELIVERY,delivery_period
BL,I want to unsubscribe from the newsletter,SUBSCRIPTION,newsletter_subscription
BL,help me cancel purchase {{Order Number}},ORDER,cancel_order
BL,I need assistance talking to customer service,CONTACT,contact_customer_service
BLQZ,i want assistance requesting a compnesation of my money,REFUND,get_refund
BCL,"I have to talk to customer service, I need assistance",CONTACT,contact_customer_service
BILZ,how long until I receive areimbursement of money?,REFUND,get_refund
BLM,problems setting up the delivery address,SHIPPING,set_up_shipping_address
BLW,I am trying to check the fucking early exit charge,CANCEL,check_cancellation_fee
BIL,how can I call customer service?,CONTACT,contact_customer_service
BLQ,i need assistance editing order {{Order Number}},ORDER,change_order
BL,I don't know how I can cancel purchase {{Order Number}},ORDER,cancel_order
BCILP,"I forgot my user profile PIN, could I recover it?",ACCOUNT,recover_password
BL,I need help canceling purchase {{Order Number}},ORDER,cancel_order
BKZ,camceling order {{Order Number}},ORDER,cancel_order
BCIPQZ,wanna check the status of order {{Order Number}} could uelp me,ORDER,track_order
BKL,correcting information on freemium account,ACCOUNT,edit_account
BKL,removing pro account,ACCOUNT,delete_account
BLQZ,wanna see how long it usually takex for my parcel to arrive,DELIVERY,delivery_period
BL,I need to see in what situations can I ask to be reimbursed,REFUND,check_refund_policy
BELN,I cannot afford order {{Order Number}},ORDER,cancel_order
BCIL,"I have got to see the cancellation charge, can you help me?",CANCEL,check_cancellation_fee
BIQSZ,do ya deoiver to {{Delivery City}},DELIVERY,delivery_options
BKL,notifying of problem creating user profile,ACCOUNT,registration_problems
BILQ,can ushow me in which situations can i ask to be refunded,REFUND,check_refund_policy
BL,assistance to submit a different shipping address,SHIPPING,set_up_shipping_address
B,I want assistance to cancel order {{Order Number}},ORDER,cancel_order
BK,get refund of money,REFUND,get_refund
BELQ,i do not know how to unsubscribe from the company newsletter,SUBSCRIPTION,newsletter_subscription
BCL,"I forgot my profile access key, help to recover it",ACCOUNT,recover_password
BL,I have got to see in which cases can I request my money back,REFUND,check_refund_policy
BL,I need to switch a product of order {{Order Number}},ORDER,change_order
BIL,can you help me change to the standard account?,ACCOUNT,switch_account
BLM,I have to notify of issues with a signup,ACCOUNT,registration_problems
BQ,i want assistance canceling order {{Order Number}},ORDER,cancel_order
BIL,can you help me seeing how soon can I expect my parcel?,DELIVERY,delivery_period
BILM,is it possible to order a few of your product?,ORDER,place_order
BL,I have to see in which cases can I ask to be refunded,REFUND,check_refund_policy
BCILQZ,need to check the rebate curent status how to do it,REFUND,track_refund
BL,I want to check what hours I can contact customer assistance,CONTACT,contact_customer_service
BIL,how to use the {{Account Category}} profile?,ACCOUNT,switch_account
BLM,I need help to request reimbursements of money,REFUND,get_refund
