offer_id,brand,title,description,price,currency,cluster_id,true_catalog_id
85137108,,GARMIN Fenix 5x Plus Outdooruhr Sportarmbandsur,"RISES UP TO EVERY CHALLENGE Diverse multi-sports features and everyday features are what makes the fenix 5 Plus watches by Garmin the perfect tool for ambitious endurance athletes, highly motivated fitness enthusiasts or style-conscious managers. New functions like integrated music, Garmin Pay? and ",7834.00,SEK,1138411,7218865
48406238,Cooler Master,Cooler Master Corsair ML120 PRO LED Red 120mm Fan CO-9050042-WW,,44.99,CAD,971833,17212553
35165067,,海盗船 Carbide 175R RGB ATX Tempered Glass Case. Two Years Warranty,,149.00,AUD,643961,18787691
20370090,,Shimano J04C Sintered Brake Pads with Fins,"Shimano J04C Sintered Brake Pads with FinsAlloy and Steel back plate using Ice-Tec heat radiation cooling fins with metal sintered brake pad. These pads will give you consistant stopping power and feel even on the longest descents!Key Features:Will fit XTR, XT, SLX & Alfine disc brakes.Pair of genui",31.99,GBP,2507918,54933824
4493835,RAM MOUNTS,"RAM® Torque™ 1 1/8\"" - 1 1/2\"" Diameter Handlebar/Rail Base with C Size 1.5\"" Ball - RAM-408-112-15U",Description Specs & Features Instructions CompatibleWithThe RAM®Torque™handlebar and rail mounting base has a 1.5” rubber ball and accommodates bars 1 1/8” to 1 1/2” in diameter. Sizing inserts are included to provide a snug fit and protection of the rail. The mount utilizes nylon-insert locknuts to,21.99,USD,279895,28556391
34868774,,Audemars Piguet Royal Oak Offshore Chronograph 42mm,Audemars Piguet Royal Oak Offshore Chronograph 42mm,34800,USD,67840743,23249222
37707111,,Crucial 8GB DDR3 1600MHz SO-DIMM,"Go Faster and FurtherGo faster and further with a notebook or netbook memory upgrade from Crucial. We've got quality SODIMM memory for mobile systems. And because a memory upgrade is one of the easiest,most affordable ways to improve system performance,it's the ideal solution for on the go users. If",9.36E2,ZAR,1392047,66752788
63396450,3M,Privacy filter 23 Wide - Flex,,595,GBP,654362,65942456
11912295,Western Digital,Western Digital Blue 3D internal solid state drive M.2 250 GB,"250 GB, SATA 6Gb/s, M.2 2280, SSD",40.79,EUR,3065693,89829635
7066688,Kingston,Kingston DataTraveler G4 16 GB USB-stick,,7.99,EUR,1915191,2353834
42864051,,CS-M8000 CASSETTE 11-40 XT11-SPEED,,217.0,NZD,328225,26740796
85554698,,RAM Short Composite Clamp Arm B Size (RAP-B-201U-A),"Included:1 x RAM Short Composite Clamp Arm B Size (RAP-B-201U-A)The RAP-B-201U-Ashort length (6cm) plastic double socket arm features a socket at both endssuitable for B Size (1\"") balls. RAM's socket technology allows for almost infinite adjustment to achieve the perfect viewing angle.Specification",16.25,AUD,3656260,68284224
